165,S/RES/835 (1993),Cambodia
166,S/RES/834 (1993),Angola
167,S/RES/833 (1993),Iraq-Kuwait
168,S/RES/832 (1993),El Salvador
169,S/RES/831 (1993),Cyprus
170,S/RES/830 (1993),Israel-Syrian Arab Republic
171,S/RES/829 (1993),Admission of a new Member: Monaco
172,S/RES/828 (1993),Admission of a new Member: Eritrea
173,S/RES/827 (1993),International Criminal Tribunal for the former Yugoslavia (ICTY)
174,S/RES/826 (1993),Cambodia
175,S/RES/825 (1993),Democratic People's Republic of Korea
176,S/RES/824 (1993),Bosnia and Herzegovina
177,S/RES/823 (1993),Angola
178,S/RES/822 (1993),Armenia-Azerbaijan
179,S/RES/821 (1993),Federal Republic of Yugoslavia
180,S/RES/820 (1993),Bosnia and Herzegovina
181,S/RES/819 (1993),Bosnia and Herzegovina
182,S/RES/818 (1993),Mozambique
183,S/RES/817 (1993),Admission of a new Member: The former Yugoslav Republic of Macedonia
184,S/RES/816 (1993),Bosnia and Herzegovina
185,S/RES/815 (1993),Croatia
186,S/RES/814 (1993),Somalia
187,S/RES/813 (1993),Liberia
188,S/RES/812 (1993),Rwanda
189,S/RES/811 (1993),Angola
190,S/RES/810 (1993),Cambodia
191,S/RES/809 (1993),Western Sahara
192,S/RES/808 (1993),International Criminal Tribunal for the former Yugoslavia (ICTY)
193,S/RES/807 (1993),Croatia
194,S/RES/806 (1993),Iraq-Kuwait
195,S/RES/805 (1993),International Court of Justice
196,S/RES/804 (1993),Angola
197,S/RES/803 (1993),Israel-Lebanon
198,S/RES/802 (1993),Croatia
199,S/RES/801 (1993),Admission of a new Member: Czech Republic
200,S/RES/800 (1993),Admission of a new Member: Slovak Republic
201,S/RES/799 (1992),Territories occupied by Israel
202,S/RES/798 (1992),Bosnia and Herzegovina
203,S/RES/797 (1992),Mozambique
204,S/RES/796 (1992),Cyprus
205,S/RES/795 (1992),Macedonia
206,S/RES/794 (1992),Somalia
207,S/RES/793 (1992),Angola
208,S/RES/792 (1992),Cambodia
209,S/RES/791 (1992),El Salvador
210,S/RES/790 (1992),Israel-Syrian Arab Republic
211,S/RES/789 (1992),Cyprus
212,S/RES/788 (1992),Liberia
213,S/RES/787 (1992),Bosnia and Herzegovina
214,S/RES/786 (1992),Bosnia and Herzegovina
215,S/RES/785 (1992),Angola
216,S/RES/784 (1992),El Salvador
217,S/RES/783 (1992),Cambodia
218,S/RES/782 (1992),Mozambique
219,S/RES/781 (1992),Bosnia and Herzegovina
220,S/RES/780 (1992),Former Yugoslavia
221,S/RES/779 (1992),Croatia
222,S/RES/778 (1992),Iraq-Kuwait
223,S/RES/777 (1992),Federal Republic of Yugoslavia
224,S/RES/776 (1992),Bosnia and Herzegovina
225,S/RES/775 (1992),Somalia
226,S/RES/774 (1992),Cyprus
227,S/RES/773 (1992),Iraq-Kuwait
228,S/RES/772 (1992),South Africa
229,S/RES/771 (1992),Former Yugoslavia
230,S/RES/770 (1992),Bosnia and Herzegovina
231,S/RES/769 (1992),Former Yugoslavia
232,S/RES/768 (1992),Israel-Lebanon
233,S/RES/767 (1992),Somalia
234,S/RES/766 (1992),Cambodia
235,S/RES/765 (1992),South Africa
236,S/RES/764 (1992),Bosnia and Herzegovina
237,S/RES/763 (1992),Admission of a new Member: Georgia
238,S/RES/762 (1992),Former Yugoslavia
239,S/RES/761 (1992),Bosnia and Herzegovina
240,S/RES/760 (1992),Federal Republic of Yugoslavia
241,S/RES/759 (1992),Cyprus
242,S/RES/758 (1992),Bosnia and Herzegovina
243,S/RES/683 (1990),Pacific Islands (Trust Territory)
244,S/RES/682 (1990),Cyprus
245,S/RES/681 (1990),Territories occupied by Israel
246,S/RES/680 (1990),Cyprus
247,S/RES/679 (1990),Israel-Syrian Arab Republic
248,S/RES/678 (1990),Iraq-Kuwait
249,S/RES/677 (1990),Iraq-Kuwait
250,S/RES/676 (1990),Iraq-Islamic Republic of Iran
251,S/RES/675 (1990),Central America
252,S/RES/674 (1990),Iraq-Kuwait
253,S/RES/673 (1990),Territories occupied by Israel
254,S/RES/672 (1990),Territories occupied by Israel
255,S/RES/671 (1990),Iraq-Islamic Republic of Iran
256,S/RES/670 (1990),Iraq-Kuwait
257,S/RES/669 (1990),Iraq-Kuwait
258,S/RES/668 (1990),Cambodia
259,S/RES/667 (1990),Iraq-Kuwait
260,S/RES/666 (1990),Iraq-Kuwait
261,S/RES/665 (1990),Iraq-Kuwait
262,S/RES/664 (1990),Iraq-Kuwait
263,S/RES/663 (1990),Admission of a new Member: Liechtenstein
264,S/RES/662 (1990),Iraq-Kuwait
265,S/RES/661 (1990),Iraq-Kuwait
266,S/RES/660 (1990),Iraq-Kuwait
267,S/RES/659 (1990),Israel-Lebanon
268,S/RES/658 (1990),Western Sahara
269,S/RES/657 (1990),Cyprus
270,S/RES/656 (1990),Central America
271,S/RES/655 (1990),Israel-Syrian Arab Republic
272,S/RES/654 (1990),Central America
273,S/RES/653 (1990),Central America
274,S/RES/652 (1990),Admission of a new Member: Namibia
275,S/RES/651 (1990),Iraq-Islamic Republic of Iran
276,S/RES/650 (1990),Central America
277,S/RES/649 (1990),Cyprus
278,S/RES/648 (1990),Israel-Lebanon
279,S/RES/647 (1990),Afghanistan-Pakistan
280,S/RES/1794 (2007),Democratic Republic of the Congo
281,S/RES/1793 (2007),Sierra Leone
282,S/RES/1792 (2007),Liberia
283,S/RES/1791 (2007),Burundi
284,S/RES/1790 (2007),Iraq
285,S/RES/1789 (2007),Cyprus
286,S/RES/1788 (2007),Middle East
287,S/RES/1787 (2007),Threats to international peace and security caused by terrorist acts
288,S/RES/1786 (2007),International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991
289,S/RES/1785 (2007),Bosnia and Herzegovina
290,S/RES/1784 (2007),Sudan
291,S/RES/1783 (2007),Western Sahara
292,S/RES/1782 (2007),Cote d'Ivoire
293,S/RES/1781 (2007),Georgia
294,S/RES/1780 (2007),Haiti
295,S/RES/1779 (2007),Sudan
296,S/RES/1778 (2007),"Chad, the Central African Republic and the subregion"
297,S/RES/1777 (2007),Liberia
298,S/RES/1776 (2007),Afghanistan
299,S/RES/1775 (2007),International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991
300,S/RES/1774 (2007),International Criminal Tribunal for the Prosecution of Persons Responsible for Genocide and Other Serious Violations of International Humanitarian Law Committed in the Territory of Rwanda and Rwandan Citizens Responsible for Genocide and Other Such Violations Committed in the Territory of Neighbouring States between 1 January and 31 December 1994
301,S/RES/1773 (2007),Middle East
302,S/RES/1772 (2007),Somalia
303,S/RES/1771 (2007),Democratic Republic of the Congo
304,S/RES/1770 (2007),Iraq
305,S/RES/1769 (2007),Sudan
306,S/RES/1768 (2007),Democratic Republic of the Congo
307,S/RES/1767 (2007),Situation between Eritrea and Ethiopia
308,S/RES/1766 (2007),Somalia
309,S/RES/1765 (2007),Cote d'Ivoire
310,S/RES/1764 (2007),Bosnia and Herzegovina
311,S/RES/1763 (2007),Cote d'Ivoire
312,S/RES/1762 (2007),Iraq
313,S/RES/1761 (2007),Cote d'Ivoire
314,S/RES/1760 (2007),Liberia
315,S/RES/1759 (2007),Middle East
316,S/RES/1758 (2007),Cyprus
317,S/RES/1757 (2007),Middle East
318,S/RES/1756 (2007),Democratic Republic of the Congo
319,S/RES/1755 (2007),Sudan
320,S/RES/1754 (2007),Western Sahara
321,S/RES/1753 (2007),Liberia
322,S/RES/1752 (2007),Georgia
323,S/RES/1751 (2007),Democratic Republic of the Congo
324,S/RES/1750 (2007),Liberia
325,S/RES/1749 (2007),Rwanda
326,S/RES/1748 (2007),Middle East
327,S/RES/1747 (2007),Non-proliferation
328,S/RES/1746 (2007),Afghanistan
329,S/RES/1745 (2007),Timor-Leste
330,S/RES/1744 (2007),Somalia
331,S/RES/1743 (2007),Haiti
332,S/RES/1742 (2007),Democratic Republic of the Congo
333,S/RES/1741 (2007),Situation between Eritrea and Ethiopia
334,S/RES/1740 (2007),Letter dated 22 November 2006 from the Secretary-General addressed to the President of the Security Council (S/2006/920)
